Date,Open,High,Low,Close,Volume
3/11/2022,163.91,165.02,160.87,160.98,1322020
3/14/2022,160.82,161.99,157.82,158.26,911835
3/15/2022,159.87,160.1,156.27,157.86,980599
3/16/2022,158.61,162.02,157.89,161.54,850103
3/17/2022,161.59,161.59,159.17,161.22,807653
3/18/2022,160.56,164.76,160.56,164.52,4900521
3/21/2022,164.47,166.58,163.59,166.21,940340
3/22/2022,167,168.23,165.92,167.6,778362
3/23/2022,167.33,168.74,166.24,167.64,1084393
3/24/2022,167.6,168.54,166.56,168.14,1187908
3/25/2022,167.87,169.88,166.95,169.73,639338
3/28/2022,169.79,171.13,169.15,169.98,766020
3/29/2022,171.48,171.48,167.45,169.93,855561
3/30/2022,169.4,170.73,168.56,170.5,653284
3/31/2022,170.51,170.94,166.99,167.7,1745432
4/1/2022,167.39,168,159.38,159.94,1424779
4/4/2022,159.95,163.05,159.68,162.46,1141916
4/5/2022,162.01,165.55,161,161.02,966473
4/6/2022,160.73,160.87,157.26,159.71,792584
4/7/2022,159.34,160.42,157.8,159.85,781728
4/8/2022,158.75,158.8,154.68,156.38,842602
4/11/2022,156.15,157.01,154.71,156.84,1106432
4/12/2022,157.49,158.7,155.08,155.21,1092227
4/13/2022,156.9,159.24,156.81,158,835842
4/14/2022,158.81,160.96,158.02,160.43,718385
4/18/2022,160.4,161.19,159.08,159.38,468237
4/19/2022,159.21,160.82,158.57,160.7,852533
4/20/2022,160.46,162.04,159.88,160.81,824676
4/21/2022,161.62,164.26,159.85,160.23,804563
4/22/2022,158.98,159.97,156.76,156.86,997843
4/25/2022,155.93,158.6,155.7,158.09,892326
4/26/2022,158.32,158.71,156.13,156.87,1007456
4/27/2022,155.3,157.06,148.41,155.34,1697031
4/28/2022,155.67,156.75,153.95,155.06,1288155
4/29/2022,154.2,154.72,151,151.08,1552283
5/2/2022,151.68,152.7,150.1,151.29,2291481
5/3/2022,152,153.1,151.11,151.63,1759106
5/4/2022,151.97,156.35,151.81,156.25,2434443
5/5/2022,156.38,156.7,151.65,151.86,1280043
5/6/2022,151.87,152,149.01,149.89,2347248
5/9/2022,148.71,149.18,143.78,144.31,1601682
5/10/2022,146.01,146.73,142.44,143.2,1838817
5/11/2022,143.03,147.06,142.9,144.6,2310545
5/12/2022,143.9,146.12,143.83,145.07,1788983
5/13/2022,145.02,145.79,142.77,142.92,3491542
5/16/2022,143.01,145.82,142.6,144.7,2112928
5/17/2022,146.54,149.69,146.11,147.57,2341542
5/18/2022,147.66,148.72,144.56,145.18,2083915
5/19/2022,142.99,143.59,140.75,142.1,2284228
5/20/2022,142.42,144.12,142.06,143.24,1964325
5/24/2022,144.63,144.63,140.94,141.3,2471878
5/25/2022,141.03,141.75,139.64,141.09,1905910
5/26/2022,143.48,145.1,142.6,143.78,1373570
5/27/2022,144.52,146.01,143.99,145.11,1589765
5/30/2022,146.49,146.88,143.23,145.82,658376
5/31/2022,144.08,145.66,143.31,143.82,10266101
6/1/2022,143.85,145.6,143.73,144.34,1461583
6/2/2022,143.73,149.07,143.73,148.67,2364013
6/3/2022,148.54,148.71,146.85,147.66,826987
6/6/2022,148.13,148.76,147.37,148.03,1541071
6/7/2022,146.88,146.88,144.85,146.05,1185048
6/8/2022,144.47,145.38,143.63,144.2,2279906
6/9/2022,143.28,145.88,143.05,143.16,782668
6/10/2022,141.84,142.33,140.11,140.46,883727
6/13/2022,138.26,140.88,137.26,138.94,1657825
6/14/2022,141.57,143.19,139.36,140.52,1210976
6/15/2022,141.63,143.53,141.07,142.21,1353417
6/16/2022,139.65,141.62,139.46,140.03,1061596
6/17/2022,139.4,142.32,139.4,140.89,4155046
6/20/2022,140.29,141.41,140.07,141.3,340727
6/21/2022,141.16,143.69,141.05,141.13,1609978
6/22/2022,140,143.78,139.88,142.28,867630
6/23/2022,142.89,144.31,142.07,142.2,1547921
6/24/2022,142.35,147.01,142.34,146.75,1631100
6/27/2022,147.65,147.74,144.73,146.02,1659529
6/28/2022,146.13,147.28,142.64,142.97,1064176
6/29/2022,142.89,145.89,142.12,145.2,745416
6/30/2022,142.7,144.9,141.8,144.79,1436031
7/4/2022,145.16,147.36,145.11,146.19,507198
7/5/2022,145.54,147.89,144.58,147.79,1655469
7/6/2022,147.7,148.69,146.76,148.16,998519
7/7/2022,146.2,147.32,143.35,146.97,1150191
7/8/2022,146.5,146.5,145.06,146.06,922416
7/11/2022,145.36,146.73,144.51,145.21,859006
7/12/2022,144.62,146.16,143.57,144.09,1109652
7/13/2022,142.74,145.22,142.37,143.9,840623
7/14/2022,143.98,146.25,143.7,145.2,1614218
7/15/2022,146.07,147.66,145.04,145.38,1026677
7/18/2022,145.96,147.19,145.57,145.91,826869
7/19/2022,146.33,148.9,146.22,148.6,892067
7/20/2022,148.79,148.87,147.7,147.77,1091769
7/21/2022,147.55,150.47,147.55,149.33,830331
7/22/2022,149.2,150.82,148.79,149.27,587453
